Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
"S 4208, 4208",Jerry Goldsmith,Patton (Original Motion Picture Score),"20th Century Fox Records, 20th Century Fox Records","LP, Album",,1970,29799220,Record Collection #100,2025-07-28 11:17:56,,,A
T-414,Love Unlimited,Under The Influence Of Love Unlimited,20th Century Records,"LP, Album, P/Mixed, Ter",,1973,580795,Record Collection #111,2026-01-25 18:22:01,,,
T-433,Love Unlimited Orchestra,Rhapsody In White,20th Century Records,"LP, Album",,1974,21270940,Individual Find,2026-03-23 07:07:24,,,
4S-SP-106,Various,Made In Tennessee,4 Star Records,"LP, Comp",,1977,4454379,Record Collection #97,2025-06-24 12:37:49,,,A
SE 1024,Carpenters,Yesterday Once More,A&M Records,"2xLP, Comp, Mon",,1984,3110567,Record Collection #106,2025-10-24 14:32:37,,,
SP 5199,Amy Grant,Lead Me On,A&M Records,"LP, Album",,1988,2096172,Record Collection #111,2026-01-23 14:42:02,7,,A
SP-3708,Supertramp,Breakfast In America,A&M Records,"LP, Album, Mon",,1979,4450663,Record Collection #116,2026-03-11 11:51:35,,,
SP-4249,Lee Michaels,Barrel,A&M Records,"LP, Album",,1970,1226289,Record Collection #98,2026-04-01 22:36:08,,,A
SP-4527,Joan Baez,Diamonds & Rust,A&M Records,"LP, Album, Pit",,1975,7586003,Record Collection #117,2026-04-02 15:04:18,5,,A
SP-4575,Pablo Cruise,Lifeline,A&M Records,"LP, Album, Pit",,1976,3874309,Record Collection #106,2025-10-24 14:29:06,,,A
SP-4836,Rita Coolidge,Greatest Hits,A&M Records,"LP, Comp, San",,1980,1768031,Record Collection #111,2026-03-31 07:37:41,,,A
SP-4896,Jeffrey Osborne,Jeffrey Osborne,A&M Records,"LP, Album, R, ",,1982,1545418,Record Collection #89,2025-05-07 07:34:34,,,
SP-4906,Joe Jackson,Night And Day,A&M Records,"LP, Album, EMW",,1982,477274,Record Collection #111,2026-01-30 08:12:48,,,
"SP 3501, SP-3501",Burt Bacharach,Burt Bacharach,"A&M Records, A&M Records","LP, Album, Gat",,1971,8706833,Record Collection #111,2026-01-23 18:36:53,,,A
"SP 4131, 131",Burt Bacharach,Reach Out,"A&M Records, A&M Records","LP, Album, Pit",,1967,8230505,Record Collection #111,2026-01-25 10:48:46,,,A
"SP 4769, SP-4769",1994:,Please Stand By...,"A&M Records, A&M Records","LP, Album",,1979,4171605,Record Collection #93,2025-05-20 11:42:27,,,A
"SP-3001, SP 3001",Wes Montgomery,A Day In The Life,"A&M Records, A&M Records","LP, Album, Gat",,1967,6467024,Uncategorized,2026-04-02 13:38:37,7,,A
"SP-4294, SP 4294",Procol Harum,Broken Barricades,"A&M Records, A&M Records","LP, Album, Ter",,1971,6793124,Record Collection #96,2025-06-20 08:42:23,7,,A
"SP-4343, SP 4343",The Flying Burrito Bros,The Last Of The Red Hot Burritos,"A&M Records, A&M Records","LP, Album, Mon",,1972,1361073,Record Collection #111,2026-01-25 09:37:09,,,
"SP-4361, SP 4361",Rick Wakeman,The Six Wives Of Henry VIII,"A&M Records, A&M Records","LP, Album, Ter",,1973,461547,Record Collection #113,2026-02-02 18:58:35,,,
"SP-4616, SP 4616",Rita Coolidge,Anytime... Anywhere,"A&M Records, A&M Records","LP, Album, Pit",,1977,944333,Record Collection #111,2026-01-30 08:35:44,,,A
"SP-4697, SP 4697",Pablo Cruise,Worlds Away,"A&M Records, A&M Records","LP, Album",,1978,13692048,Record Collection #98,2025-07-08 12:07:00,,,A
DO-2098,Barbara Mandrell,Love's Ups And Downs,ABC Dot,"LP, Album, San",,1977,3092535,Record Collection #109,2026-01-19 09:44:54,,,A
DOSD-2029,Donna Fargo,Whatever I Say Means I Love You,ABC Dot,"LP, Album, Ter",,1975,2259714,Record Collection #105,2025-09-22 06:57:01,,,A
DOSD-2061,Freddy Fender (2),If You're Ever In Texas,ABC Dot,"LP, Album, San",,1976,1441811,Record Collection #111,2026-01-25 10:15:08,,,
DOSD-2063,Billy 'Crash' Craddock,Crash,ABC Dot,"LP, Album, Pit",,1976,8707423,Record Collection #109,2026-01-19 09:21:32,,,A
DOSD-2065,Narvel Felts,Doin' What I Feel,ABC DOT,"LP, Album",,1976,5030513,Record Collection #109,2026-01-19 10:07:22,,,A
AA 1017,Levon Helm And The RCO All-Stars,Levon Helm And The RCO All-Stars,ABC Records,"LP, Album, Ter",,1977,4057457,Record Collection #108,2026-01-06 07:19:29,10,,A
AA-1068,John Klemmer,Arabesque,ABC Records,"LP, Album, San",,1978,1185146,Record Collection #116,2026-03-13 06:48:02,,,A
AB-850,Billy 'Crash' Craddock,Greatest Hits - Volume One,ABC Records,"LP, Comp",,1974,18700087,Record Collection #111,2026-01-30 08:38:01,,,A
ABCD-851,Bobby Vinton,Melodies Of Love,ABC Records,"LP, Album, Club, Ind",,1974,8841194,Record Collection #111,2026-01-28 22:01:46,,,A
ABCD-891,Bobby Vinton,Heart Of Hearts,ABC Records,"LP, Album",,1975,9044741,Record Collection #111,2026-01-30 07:47:25,,,A
ABCD-957,Bobby Vinton,Serenades Of Love,ABC Records,"LP, Album, Ter",,1976,5319301,Record Collection #111,2026-01-23 19:26:04,,,A
AY-1088,Barbara Mandrell,Moods,ABC Records,"LP, Album, Club, San",,1978,3250659,Record Collection #106,2025-10-24 14:25:51,,,
AH-44001,Don Gibson,I'm All Wrapped Up In You,"ABC Records, Hickory Records",LP,,1976,2354773,Record Collection #109,2026-01-19 08:05:41,,,A
P 12474,Various,Sounds Of Christmas,"Amway, Columbia Special Products","LP, Comp",,1974,6007250,Record Collection #111,2026-01-23 15:34:21,,,A
740319,The Friends (3),Songs That Mom And Dad Taught Us,Area Wide Crusades,"LP, Album",,1974,3336173,Record Collection #111,2026-01-25 09:16:54,10,,A
"LP-755, 755",The Ramsey Lewis Trio,Choice!: The Best Of The Ramsey Lewis Trio,"Argo (6), Argo (6)","LP, Comp, Mono",,1965,19953865,Record Collection #89,2025-05-06 07:42:19,,,
"SW-50039, SW 50039",Chanson,Chanson,"Ariola Records America, Ariola Records America","LP, Album",,1978,1993990,Record Collection #98,2026-04-01 22:17:16,,,
AB 4230,Dionne Warwick,Dionne,Arista,"LP, Album, Pit",,1979,3812571,Record Collection #106,2025-10-24 14:33:57,,,A
AB 4230,Dionne Warwick,Dionne,Arista,"LP, Album, Pit",,1979,3812571,Record Collection #111,2026-01-23 17:47:01,,,A
AL 4037,The Brecker Brothers,The Brecker Bros.,Arista,"LP, Album",,1975,5401816,Record Collection #101,2025-08-05 10:30:12,,,
AL 4061,The Brecker Brothers,Back To Back,Arista,"LP, Album",,1976,1464641,Record Collection #101,2025-08-05 11:01:50,,,
AL 8300,Outlaws,Bring It Back Alive,Arista,"2xLP, Album, Club, CRC",,0,14607905,Record Collection #93,2025-05-20 13:45:58,,,A
AL 8586,Kris McKay,What Love Endures,Arista,LP,,1990,5376136,Record Collection #102,2025-08-11 17:44:56,,,A
AL 9507,Outlaws,In The Eye Of The Storm,Arista,"LP, Album, San",,1979,11437899,Record Collection #93,2025-05-20 13:30:36,,,
AL-8427,Kenny G (2),Duotones,Arista,"LP, Album, Hau",,1986,5271038,Record Collection #106,2025-10-24 15:14:15,5,,A
AL-8457,Kenny G (2),Silhouette,Arista,"LP, Album, All",,1988,12652063,Record Collection #105,2025-09-26 14:00:03,5,,A
"AL 4042, 4042",Outlaws,Outlaws,"Arista, Arista","LP, Album, Pet",,1975,1471425,Record Collection #117,2026-04-02 15:17:54,5,,A
"AL 8-8107, AL8-8107",Tom Browne,Rockin' Radio,"Arista, Arista","LP, Album, Ind",,1983,441632,Record Collection #89,2025-05-07 07:43:04,,,A
"AL8-8102, AL 8 8102",Barry Manilow,Greatest Hits Vol. II,"Arista, Arista","LP, Comp, Ind",,1983,2630130,Record Collection #106,2025-10-24 14:28:27,,,
"AL8-8262, AL 8-8262",Dionne Warwick,Finder Of Lost Loves,"Arista, Arista","LP, Album, Club, CRC",,1985,9834846,Record Collection #97,2025-06-24 11:10:46,,,A
AM-297,The Atom Age,Hot Shame,Asian Man Records,"LP, Album, Bla",,2015,10134427,Record Collection #117,2026-04-02 15:00:08,20,,A
5E-511,Jackson Browne,Hold Out,Asylum Records,"LP, Album",,1980,1317466,Record Collection #98,2026-04-01 22:37:40,,,A
SD 32-107,Blackfoot (3),Marauder,ATCO Records,"LP, Album, SP ",,1981,2313394,Record Collection #103,2025-08-29 11:19:16,,,
