Blank,Artist,Title,CollectionFolder,Collection Price,Collection Sold Price
,Love Unlimited,Under The Influence Of Love Unlimited,Record Collection #111,3,3
,Love Unlimited Orchestra,Rhapsody In White,10,3,3
,Carpenters,Yesterday Once More,Record Collection #106,3,3
,Supertramp,Breakfast In America,Record Collection #116,3,3
,Jeffrey Osborne,Jeffrey Osborne,Record Collection #89,3,3
,Joe Jackson,Night And Day,Record Collection #111,3,3
,The Flying Burrito Bros,The Last Of The Red Hot Burritos,Record Collection #111,3,3
,Rick Wakeman,The Six Wives Of Henry VIII,Record Collection #113,3,3
,Freddy Fender (2),If You're Ever In Texas,Record Collection #111,3,3
,Barbara Mandrell,Moods,Record Collection #106,3,3
,The Ramsey Lewis Trio,Choice!: The Best Of The Ramsey Lewis Trio,Record Collection #89,3,3
,Chanson,Chanson,Record Collection #98,3,3
,The Brecker Brothers,The Brecker Bros.,Record Collection #101,3,3
,The Brecker Brothers,Back To Back,Record Collection #101,3,3
,Outlaws,In The Eye Of The Storm,Record Collection #93,3,3
,Barry Manilow,Greatest Hits Vol. II,Record Collection #106,3,3
,Blackfoot (3),Marauder,Record Collection #103,3,3
,Delaney & Bonnie & Friends,To Bonnie From Delaney,Record Collection #108,3,3
,Cameo,She's Strange,Record Collection #89,3,3
,Chuck Willis,You'll Be My Love,Record Collection #104,3,3
,Bette Midler,The Rose - The Original Soundtrack Recording,Record Collection #111,3,3
,Firefall,Firefall,Record Collection #98,3,3
,Spinners,Happiness Is Being With The Spinners,Record Collection #89,3,3
,The Young Rascals,Groovin',269,3,3
,Bruno Mars,XXIVK Magic,Record Collection #112,3,3
,The Firm (7),The Firm,Record Collection #93,3,3
,The Modern Jazz Quartet With Laurindo Almeida,Collaboration,Record Collection #102,3,3
,Liberace,Piano Gems,Record Collection #106,3,3
,"Pyotr Ilyich Tchaikovsky - Emil Gilels Piano,  Kiril Kondrashin Conducting The Leningrad Philharmonic Orchestra",Second Concerto In G Op. 44 For Piano & Orchestra,Record Collection #111,3,3
,Randy Vanwarmer,Beat Of Love,Record Collection #96,3,3
,Morgan Wallen,If I Know Me,Record Collection #112,30,22.5
,Scott Burton (2),Brushfire!,Record Collection #104,3,3
,Lou Donaldson,Sweet Lou,Record Collection #106,3,3
,Jimmy McGriff,Something To Listen To,Record Collection #98,3,3
,Harve Presnell,Brigham!,Record Collection #111,3,3
,Jason Aldean,Highway Desperado,Record Collection #112,3,3
,Jackie Wilson,Whispers,324,3,3
,Ramsey Lewis,Wade In The Water,Record Collection #111,3,3
,Quicksilver Messenger Service,Shady Grove,Record Collection #91,3,3
,The Knack (3),Get The Knack,Record Collection #111,3,3
,Norton Buffalo,Lovin' In The Valley Of The Moon,Record Collection #113,3,3
,George Van Eps,My Guitar,111,3,3
,La Costa,Get On My Love Train,Record Collection #98,3,3
,Starz (2),Coliseum Rock,220,3,3
,The Cannonball Adderley Quintet,In Person,268,3,3
,The Nat King Cole Trio,Original Vocal And Instrumental Recordings Of The Easy Listenin' Favorites,Record Collection #111,3,3
,Meredith Willson,The Music Man - Original Broadway Cast,Record Collection #106,3,3
,Seatrain,The Marblehead Messenger,Record Collection #100,3,3
,Meredith Willson,Meredith Wilson's The Music Man - Original Cast,Record Collection #106,3,3
,Charlie Louvin,Lonesome Is Me,Record Collection #113,3,3
,Maxayn,Bail Out For Fun!,Record Collection #114,3,3
,The Marshall Tucker Band,Carolina Dreams,Record Collection #103,3,3
,Village People,Go West,Record Collection #106,3,3
,Mac Davis,Texas In My Rear View Mirror,Record Collection #98,3,3
,Various,Flashdance (Original Soundtrack From The Motion Picture),Record Collection #105,3,3
,Donna Summer,Live And More,Record Collection #106,3,3
,Donna Summer,Live And More,Record Collection #106,3,3
,"Andy Williams, The Voices Of Christmas",Christmas With Andy Williams / Christmas With The Voices Of Christmas,Record Collection #111,3,3
,Various,Kramer Vs. Kramer (Soundtrack),Record Collection #103,3,3
,The Lone Riders,Cowboy Songs Of The West,Record Collection #106,3,3
,The Trophies (2),Doggone It / Desire,Record Collection #104,3,3
,Robin Trower,In City Dreams,Record Collection #103,3,3
,Jethro Tull,Heavy Horses,Record Collection #111,3,3
,Ronnie Mitchell,It's The Talk Of The Town / I Dreamed I Joined The Choir,Record Collection #104,3,3
,Frankie Yankovic And His Yanks,Your Favorite Polkas,Record Collection #109,3,3
,Gene Krupa And His Orchestra,Gene Krupa,Record Collection #107,3,3
,Gene Krupa And His Orchestra,Gene Krupa Dance Parade,Record Collection #107,3,3
,Erroll Garner,Plays For Dancing,Record Collection #105,3,3
,Enrique Villegas,Introducing Villegas,Record Collection #108,3,3
,Jerry Vale,Let It Be,Record Collection #111,3,3
,Johnny Mathis With Percy Faith & His Orchestra,Merry Christmas,Record Collection #109,3,3
,The Dave Brubeck Quartet,Bernstein Plays Brubeck Plays Bernstein,Record Collection #106,3,3
,Les Paul & Mary Ford,Swingin' South,Record Collection #109,3,3
,Jerry Vale,You Don't Have To Say You Love Me,Record Collection #111,3,3
,The Dave Brubeck Trio Featuring Gerry Mulligan,Compadres,Record Collection #105,3,3
,Ramsey Lewis & Nancy Wilson,The Two Of Us,Record Collection #105,3,3
,Various,Columbia Jazz Festival,Record Collection #111,3,3
,Percy Faith,Clair,Record Collection #111,3,3
,Tony Bennett,All Time Greatest Hits,Record Collection #106,3,3
,The Chambers Brothers,"Love, Peace And Happiness / Live At Bill Graham's Fillmore East",Record Collection #98,3,3
,Barbra Streisand,Emotion,Record Collection #97,3,3
,Don Elliott,Rejuvenation,Record Collection #105,3,3
,Neil Diamond,Beautiful Noise,Record Collection #106,3,3
,Barbra Streisand,Memories,Record Collection #111,3,3
,"Rex Harrison, Julie Andrews",My Fair Lady,Record Collection #111,3,3
,Edgar Lansbury,The Subject Was Roses (Original Broadway Cast),Record Collection #111,3,3
,Walter Carlos,Switched-On Bach,Record Collection #89,3,3
,Percy Faith,Percy Faith Plays Latin Themes For Young Lovers,Record Collection #111,3,3
,Various,"Armstrong Presents Cole Porter's Kiss Me, Kate - Original ABC Television Sound Track",Record Collection #100,3,3
,Freddie Hubbard,Bundle Of Joy,Record Collection #102,3,3
,Chicago (2),Chicago X,Record Collection #106,3,3
,Hubert Laws,The San Francisco Concert,Record Collection #96,3,3
,Hank Crawford,Help Me Make It Through The Night,Record Collection #98,3,3
,John F. Kennedy,John Fitzgerald Kennedy 1917-1963 (A Memorial Album),Record Collection #111,3,3
,Julio Iglesias,En Concierto,Record Collection #106,3,3
,Unknown Artist,Babes In Toyland,Record Collection #106,3,3
,Little Luther,Steppin' High / Du Dee Squat,Record Collection #105,3,3
,Steppenwolf,The Second,220,3,3
,Steppenwolf,The Second,Record Collection #106,3,3
,Three Dog Night,Cyan,Record Collection #106,3,3
,Carly Simon,Boys In The Trees,Record Collection #105,3,3
,Richard Simmons,Reach,Record Collection #100,3,3
,The Screaming Blue Messiahs,Bikini Red,Record Collection #117,3,3
,Sheena Easton,A Private Heaven,Record Collection #97,3,3
,Sheena Easton,Do You,Record Collection #98,3,3
,Robert Palmer,Heavy Nova,Record Collection #93,3,3
,Isaac Hayes,The Isaac Hayes Movement,10,3,3
,The Village Stompers,The Original Washington Square,Record Collection #109,3,3
,Bobby Vinton,A Very Merry Christmas,Record Collection #111,5,5
,Teena Marie,Starchild,Record Collection #97,3,3
,Charlie Rich,Take Me,Record Collection #106,3,3
,REO Speedwagon,Ridin' The Storm Out,Record Collection #106,3,3
,Poco (3),The Very Best Of Poco,Record Collection #103,3,3
,REO Speedwagon,Wheels Are Turnin',Record Collection #106,3,3
,Ted Nugent,Cat Scratch Fever,Record Collection #98,3,3
,Johnny Paycheck,Armed And Crazy,Record Collection #106,3,3
,Various,Popular Koto Melodies Of Japan,9,3,3
,Steve Long (7),Let It Be Tonight ,Record Collection #92,3,3
,Trapezoid,Now & Then,Record Collection #108,3,3
,Dan Fogelberg,Windows And Walls,Record Collection #105,3,3
,Avid Dancer,1st Bath,Record Collection #102,3,3
,Erroll Garner and Art Tatum / Mike Di Napoli,Piano Greats,Record Collection #111,3,3
,George Jones (2),Good Old Bible,Record Collection #111,3,3
,Various,Thirty Years Of Bluegrass,Record Collection #111,3,3
,Tommy Jackson (2),Square Dance Jamboree!,Record Collection #98,3,3
,Little River Band,Sleeper Catcher,Record Collection #106,3,3
,Traffic,On The Road,Record Collection #111,3,3
,Magnum (3),Kingdom Of Madness,Record Collection #96,3,3
,Various,Disco Rocket,Record Collection #106,3,3
,Various,Music Express,Record Collection #106,3,3
,Various,Sundown,Record Collection #106,3,3
,Sha Na Na,The Golden Age Of Rock 'n' Roll,Record Collection #93,3,3
,The Lovin' Spoonful,Hums Of The Lovin' Spoonful,Record Collection #111,3,3
,Roger Williams (2),The Impossible Dream,Record Collection #106,3,3
,John Renbourn & Stefan Grossman,Stefan Grossman & John Renbourn,111,3,3
,Eric Gale,Forecast,Record Collection #114,3,3
,The Raindear Army,Subterranean Sunset / Aviator,322,3,3
,Roosevelt Grier,Struttin' 'N Twistin' / Let The Cool Wind Blow,Record Collection #104,3,3
,The Sunshine Company,Happy Is,192,3,3
