Artist,Title,Collection Price
Jerry Goldsmith,Patton (Original Motion Picture Score),3
Various,Made In Tennessee,3
Amy Grant,Lead Me On,7
Lee Michaels,Barrel,3
Joan Baez,Diamonds & Rust,5
Pablo Cruise,Lifeline,3
Rita Coolidge,Greatest Hits,3
Burt Bacharach,Burt Bacharach,3
Burt Bacharach,Reach Out,3
1994:,Please Stand By...,3
Wes Montgomery,A Day In The Life,7
Procol Harum,Broken Barricades,7
Rita Coolidge,Anytime... Anywhere,3
Pablo Cruise,Worlds Away,3
Barbara Mandrell,Love's Ups And Downs,3
Donna Fargo,Whatever I Say Means I Love You,3
Billy 'Crash' Craddock,Crash,3
Narvel Felts,Doin' What I Feel,3
Levon Helm And The RCO All-Stars,Levon Helm And The RCO All-Stars,10
John Klemmer,Arabesque,3
Billy 'Crash' Craddock,Greatest Hits - Volume One,3
Bobby Vinton,Melodies Of Love,3
Bobby Vinton,Heart Of Hearts,3
Bobby Vinton,Serenades Of Love,3
Don Gibson,I'm All Wrapped Up In You,3
Various,Sounds Of Christmas,3
The Friends (3),Songs That Mom And Dad Taught Us,10
Dionne Warwick,Dionne,3
Dionne Warwick,Dionne,3
Outlaws,Bring It Back Alive,3
Kris McKay,What Love Endures,3
Kenny G (2),Duotones,5
Kenny G (2),Silhouette,5
Outlaws,Outlaws,5
Tom Browne,Rockin' Radio,3
Dionne Warwick,Finder Of Lost Loves,3
The Atom Age,Hot Shame,20
Jackson Browne,Hold Out,3
The Wonder Band,Stairway To Love,3
Frida,Something's Going On,3
Various,White Nights: Original Motion Picture Soundtrack,3
Lou Gramm,Ready Or Not,5
Laura Branigan,Branigan 2,3
Firefall,Firefall,3
Henry Paul Band,Anytime,5
Roberta Flack & Donny Hathaway,Roberta Flack & Donny Hathaway,7
Earl Coleman Featuring Billy Taylor,Love Songs,3
The Fifth Dimension,Soul & Inspiration,3
The Partridge Family,The Partridge Family Sound Magazine,3
Carman,Live/Radically Saved,10
The Goodtime Singers,Some of Our Own and Some of the Others,3
Candle (3),"To The Chief Musician, Chapter II",3
Dave Mason,Alone Together,5
Jack Johnson,All The Light Above It Too,20
Ronnie Milsap,Love Will Never Pass Us By,3
George Burns,Sings,3
Agape Force,Potpourri,3
The Sons Of Champlin,The Sons,10
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,10
Nancy Wilson,"Today, Tomorrow, Forever",3
Wayne Newton,Summer Wind,3
Glen Campbell,"Hey, Little One",3
Sonny James,Young Love,3
Anne Murray,Let's Keep It That Way,3
Cheryl Ladd,Dance Forever,3
Earl Klugh,Wishful Thinking,3
The Howard Roberts Quartet,H.R. Is A Dirty Guitar Player,10
Wayne Newton,Songs For A Merry Christmas,3
Merle Haggard,"A Tribute To The Best Damn Fiddle Player In The World: Or, My Salute To Bob Wills",7
Joy Of Cooking,Joy Of Cooking,5
Laurindo Almeida And The San Fernando Guitars,New Broadway-Hollywood Hits,3
Bobbie Gentry And Glen Campbell,Bobbie Gentry And Glen Campbell,3
Glen Campbell,That Christmas Feeling,5
Frank Sinatra,This Is Sinatra!,5
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,10
Glen Campbell,Bloodline,3
Sam Smith (12),In The Lonely Hour,10
Dickey Betts,Highway Call,7
Norman Ponce,Norman Ponce,10
Liona Boyd,Miniatures For Guitar,3
Liona Boyd,A Guitar For Christmas = Eine Gitarre Für Weihnachten = Une Guitare Pour Noël,3
Various,Christmas Encores,3
Heritage Singers USA,Thinking Back:  100 Year Old Gospel Favorites,3
The Cam Floria Voices And Brass,The Sky Shall Unfold,5
Ian Hunter,Welcome To The Club - Live,5
Robin Trower,Robin Trower Live!,5
Judah & The Lion,Pep Talks,50
Judah & The Lion,Folk Hop N' Roll,20
Lynn Anderson,Rose Garden,3
Vikki Carr,Vikki Carr's Love Story,3
Lynn Anderson,The Christmas Album,5
Chicago (2),Chicago VII,5
Lynn Anderson,Stay There 'Til I Get There,3
Marty Robbins,Marty's Greatest Hits,3
Ray Conniff And His Orchestra & Chorus,The Happy Beat,3
Eydie Gormé,Don't Go To Strangers,3
Patti Page,Patti Page's Greatest Hits,3
Jim Nabors,Jim Nabors Sings Love Me With All Your Heart,3
André Kostelanetz And His Orchestra,The Kostelanetz Sound Of Today,3
Gary Puckett & The Union Gap,"Woman, Woman",3
Patti Page,Gentle On My Mind,3
Judas Priest,Point Of Entry,15
Vikki Carr,Vikki Carr En Español: Los Exitos De Hoy Y De Siempre (The Hits Of Today And Always),3
Sonny James,When The Snow Is On The Roses,3
Alvin Lee & Mylon LeFevre,On The Road To Freedom,3
Vikki Carr,Hoy (Today),3
Simon & Garfunkel,Bridge Over Troubled Water,5
Johnny Cash,"Hello, I'm Johnny Cash",5
Vikki Carr,Live At The Greek Theatre,3
Jane Olivor,First Night,3
Various,The Great Old Time Radio Stars,3
André Kostelanetz And His Orchestra,Traces,3
Various,Country Music Festival,3
Dave Mason,Let It Flow,3
Jane Olivor,Chasing Rainbows,3
Journey,Greatest Hits,20
Jon Gibson,Standing On The One,15
Klymaxx,Klymaxx,3
Stacy Lattisaw,Let Me Be Your Angel,3
The Scottsville Squirrel Barkers,Blue Grass Favorites,15
Danny Gaither,It Is Well With My Soul,10
Kool & The Gang,Something Special,5
David Clayton-Thomas,David Clayton-Thomas!,3
The Who,Tommy,10
Lawrence Welk / Henry King (8) / Freddy Martin,Three Of A Kind (3 Top Stars Of Romantic Mood Music),3
"Paul Smith (5) With Monty Budwig, Frank Capp, Barney Kessel",The Good Life,5
Eddie Fisher,Eddie Fisher Today!,3
Roy Clark,Come Live With Me,3
Hatchie,Sugar & Spice,15
Rainbow Kitten Surprise,"How To: Friend, Love, Freefall",20
Carole Bayer Sager,...Too,3
"Grover Washington, Jr.",Winelight,5
Tony Orlando & Dawn,"He Don't Love You, Like I Love You",3
Judy Collins,Bread & Roses,3
Judy Collins,Colors Of The Day (The Best Of Judy Collins),3
Lex De Azevedo,Saturday's Warrior,3
Sheena Easton,"Madness, Money And Music",3
Sheena Easton,A Private Heaven,3
Bobby Vinton,Bobby Vinton's Greatest Hits,3
Bobby Vinton,Bobby Vinton Sings For Lonely Nights,3
Bobby Vinton,Bobby Vinton's Greatest Hits Of Love,3
Ricky Skaggs,Highways & Heartaches,3
Charly McClain,Greatest Hits,3
Mickey Gilley And Charly McClain,It Takes Believers,3
Charly McClain,Radio Heart,3
Bobby Vinton,Ev'ry Day Of My Life,3
Bobby Vinton,Sealed With A Kiss,3
Johnny Paycheck,Take This Job And Shove It,5
Johnny Rodriguez (4),Rodriguez,3
Engelbert Humperdinck,After The Lovin',3
Various,The Idols,3
Randy Van Horne Singers,Sleighride,3
Creedence Clearwater Revival,Green River,10
Creedence Clearwater Revival,Cosmo's Factory,10
Stanley Turrentine,West Side Highway,5
Tom Paxton,Even A Gray Day,3
The Lundstroms,A Fresh Touch,10
Lundstrom Singers,Movin' Ahead,3
Lundstrom Singers,Crusade Favorites,7
Twenty One Pilots,Vessel,15
Twenty One Pilots,Blurryface,20
Panic! At The Disco,Death Of A Bachelor,15
Paramore,After Laughter,20
Panic! At The Disco,Pray For The Wicked,20
Paramore,Brand New Eyes,30
Dan Fogelberg,Greatest Hits,3
Flavia Band,Good-Bye Bambina,3
The Intruders,Save The Children,5
Eric Carmen,Eric Carmen,3
Dave & Dana,Morning Star,3
The Mills Brothers,The Very Best Of The Mills Brothers ,5
Various,Golden Sounds Of Country Music,3
Jimmy Dean,The Country's Favorite Son,3
Heritage Singers USA,Let's Just Praise The Lord,10
Jan Garber And His Orchestra,"The Uncollected Jan Garber, 1939-1941",3
Marvin Payne,Grasshopper,3
"Bill & Gloria Gaither, Ronn Huff",Alleluia! A Praise Gathering for Believers,5
The Charleston Trio,The Charleston Trio Sing Americana,3
Steve Winwood,Back In The High Life,5
Potliquor,Levee Blues,7
Norfolk & Western,A Gilded Age,10
Damascus Road,A Glimpse Of Freedom,10
Carl Perkins,Ol' Blue Suede's Back,3
Various,County Line (Cross Over To Country Original Hits & Stars),3
Phil Coulter,Classic Tranquility,3
Various,SuperStars In Country Music,3
Frank Mills,The Magic Of Frank Mills,3
Ian Lloyd & Stories,Traveling Underground,5
The Lovin' Spoonful,The Best Of The Lovin' Spoonful,7
Stories,About Us,5
The Lovin' Spoonful,You're A Big Boy Now - The Original Sound Track Album,7
Billy Edd Wheeler,Memories Of America / Ode To The Little Brown Shack Out Back,3
Roger Williams (2),For You,3
Chris Proctor,Runoff,5
Marvin Gaye,Marvin Gaye's Greatest Hits Volume 2,10
Various,15 Top Ten Hits: Volume One,3
Circle Jerks,Golden Shower Of Hits,45
Melveen Leed,Melveen--The Hawaiian Country Girl,5
Melveen Leed,My Hawaiian Song Of Love,7
Melveen Leed,I Love You Hawaii,5
Melveen Leed,Melveen With The Best Of Slack-Key,7
Bobby Vee,Golden Greats Volume Two,3
Gary Lewis & The Playboys,Golden Greats,3
Kentucky Express,Kentucky Express,10
Michael Martin Murphey,Michael Martin Murphey,3
Henry Gross,Release,3
The Archers (3),...Things We Deeply Feel,3
Big Punisher,How We Roll,3
R.J.'s Latest Arrival,Hold On,3
Erick Nelson (2),Flow River Flow,3
Praise Strings,The Best Of Praise Strings,3
Ashley Alexander (2),Plays Frank Mantooth,15
Freddy Fender (2),Christmas Time In The Valley,3
Steppenwolf,16 Greatest Hits,10
Olivia Newton-John,Clearly Love,3
B.J. Thomas,B.J. Thomas,3
Merle Haggard,My Farewell To Elvis,5
Marvin Hamlisch,The Sting (Original Motion Picture Soundtrack),3
"Leslie Bricusse, John Williams (4)","Goodbye, Mr Chips (Original Motion Picture Soundtrack)",7
Elton John,Victim Of Love,5
Rossington Collins Band,"Anytime, Anyplace, Anywhere",3
Barbara Mandrell,Love Is Fair,3
Lalo Schifrin,The Competition (Music From The Original Motion Picture Soundtrack),3
Barbara Mandrell,Live,3
Barbara Mandrell,Live,3
The Oak Ridge Boys,Christmas Again,3
Mary J. Blige Featuring Ja Rule,Rainy Dayz,3
Conway Twitty,Twitty,3
Frankie Avalon,Best Of Frankie Avalon,3
Lee Greenwood,Inside Out,3
B.J. Thomas,For The Best,3
